ID,StartX,StartY,StartZ,EndX,EndY,EndZ,crime,bench,restaurant,bar/pub,cafe,bakery,dessert_store,food_stall,market,Square,Greenery,Waterway,Traffic_Light,Step,Ramp,No_Lighting,Pothole
000172,-13871.8779701204,6712715.86054724,0,-13874.9392561172,6712713.0342898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000173,-13983.7206625204,6712003.12020265,0,-13977.5201668832,6712004.31857438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000174,-13223.7313669256,6710917.73607621,0,-13267.9140728215,6710925.76588919,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0
000175,-14001.8323436724,6711588.88763945,0,-14005.9622967809,6711592.6077691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000176,-13964.7406893401,6711638.91279438,0,-13969.7166705786,6711643.40201707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000177,-14024.363408609,6711586.74141157,0,-14031.2986128854,6711579.51578187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000178,-14002.6783718025,6711565.99457122,0,-14010.0031942967,6711557.96412737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000179,-13988.2624977447,6711552.20510569,0,-13996.1327857438,6711543.90639839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000180,-14084.2978224521,6710612.64481181,0,-14092.9473468867,6710613.41378481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000181,-14086.7245873514,6710588.84245079,0,-14095.6301466148,6710589.86178414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000182,-12567.3805172594,6710434.33444974,0,-12560.3451254412,6710440.14632963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
